iter	RMSE
361	0.7654637768
362	0.7644360664
363	0.7638330923
364	0.7633679136
365	0.7623107612
366	0.761489624
367	0.7612278652
368	0.7606848199
369	0.7601272785
370	0.7595130198
371	0.7589552851
372	0.7579074231
373	0.7575655075
374	0.7568772493
375	0.7562411231
376	0.7556648498
377	0.7551564938
378	0.7539115953
379	0.7537058
380	0.7534371009
381	0.7529142471
382	0.7516502948
383	0.7511946606
384	0.751030125
385	0.7508454284
386	0.750387666
387	0.7498708553
388	0.7497047903
389	0.7492046383
390	0.7489594843
391	0.748467366
392	0.7483551864
393	0.7480498932
394	0.7474660624
395	0.7468960806
396	0.7459468495
397	0.7455090845
398	0.745347771
399	0.7447927315
400	0.7445318868
401	0.744152563
402	0.7436787113
403	0.7431844202
404	0.7427111509
405	0.7416588517
406	0.7413052654
407	0.7408580123
408	0.7407527248
409	0.7402384993
410	0.7392578227
411	0.7387674244
412	0.7383209337
413	0.7379196587
414	0.7368746308
415	0.7367273544
416	0.7365731325
417	0.7361443085
418	0.7356950816
419	0.7355437782
420	0.7350698016
421	0.7346584109
422	0.7336499572
423	0.7332293916
424	0.7320162525
425	0.7316214777
426	0.7308588216
427	0.7298109651
428	0.7292858617
429	0.7290379852
430	0.7288844274
431	0.7280987559
432	0.7275353763
433	0.7273355143
434	0.7267005051
435	0.7264676575
436	0.725740264
437	0.725289137
438	0.7248526341
439	0.7244103932
440	0.7239991227
441	0.7233866741
442	0.7228923309
443	0.7224211431
444	0.7219032293
445	0.7216152846
446	0.7213873743
447	0.7212793703
448	0.7210293625
449	0.7198415416
450	0.7194878073
451	0.7190843309
452	0.7185034797
453	0.7182167611
454	0.7178934577
455	0.7177056539
456	0.7167041153
457	0.7165186462
458	0.7159862751
459	0.7156217185
460	0.7152331663
461	0.7148332113
462	0.714441277
463	0.7140163709
464	0.7136257631
465	0.7125237994
466	0.7121359394
467	0.7115828946
468	0.7114544257
469	0.7107389651
470	0.7106161243
471	0.7101935878
472	0.7099407668
473	0.7094674404
474	0.7091030874
475	0.70892564
476	0.7085536266
477	0.7080204924
478	0.7076566281
479	0.706802533
480	0.7063621197
481	0.7060170349
482	0.7054339245
483	0.7049044903
484	0.7045464957
485	0.7040237808
486	0.7033707066
487	0.7024680482
488	0.7020454915
489	0.7017076823
490	0.7012902019
491	0.7010279705
492	0.7004465113
493	0.700219729
494	0.699954909
495	0.6992642429
496	0.6989001911
497	0.6985405898
498	0.6978451049
499	0.6974881773
500	0.6971329594
501	0.6967491333
502	0.696303312
503	0.6959978515
504	0.6957749519
505	0.6950384601
506	0.6946238298
507	0.6939484181
508	0.6937582852
509	0.6935471381
510	0.6929016689
511	0.6926381854
512	0.6921481265
513	0.6917153222
514	0.6914420508
515	0.6911136105
516	0.6906238687
517	0.6903007302
518	0.689978707
519	0.6897869931
520	0.68947863
521	0.68930905
522	0.6890562559
523	0.6888161862
524	0.6885597139
525	0.6880556809
526	0.6878836366
527	0.6876412305
528	0.6875404088
529	0.6869131167
530	0.6862692447
531	0.6858076279
532	0.6854849599
533	0.6852969583
534	0.6850088405
535	0.6843658614
536	0.684083499
537	0.6834323274
538	0.6831198425
539	0.6827807996
540	0.6826825545
541	0.6820941457
542	0.6815241269
543	0.6812398282
544	0.6809232661
545	0.6806373229
546	0.6799924726
547	0.6797790615
548	0.679510273
549	0.6792019056
550	0.6787807061
551	0.6785041145
552	0.6782721377
553	0.6781057732
554	0.6778195995
555	0.6773079452
556	0.6771604705
557	0.6769009312
558	0.6765965492
559	0.6755522701
560	0.6752244631
561	0.6748047031
562	0.674630567
563	0.6743953727
564	0.6740597852
565	0.6736416555
566	0.6731449811
567	0.6728293955
568	0.6726672583
569	0.6718286762
570	0.6714805525
571	0.6713172393
572	0.6711340448
573	0.6708721227
574	0.6705573204
575	0.6702864399
576	0.6700366653
577	0.6697018407
578	0.6694053769
579	0.6691535651
580	0.6685227656
581	0.6676878459
582	0.6675046085
583	0.6672291612
584	0.6670651957
585	0.6664764887
586	0.6661440056
587	0.6660401238
588	0.665619736
589	0.6648344069
590	0.6644322332
591	0.6638708958
592	0.6635594693
593	0.6628222099
594	0.6626406657
595	0.6623557618
596	0.6620139289
597	0.6618415267
598	0.6617318598
599	0.6614254644
600	0.6610891681
601	0.6607867911
602	0.6604030637
603	0.6599566094
604	0.6596081523
605	0.6593755301
606	0.6591588666
607	0.6589296423
608	0.6587683298
609	0.6585862667
610	0.6581826938
611	0.6578421887
612	0.65754991
613	0.6571306417
614	0.6569423043
615	0.6565211989
616	0.6562114694
617	0.656062927
618	0.655902869
619	0.6552180758
620	0.6550099806
621	0.6541966835
622	0.6538978584
623	0.6536915928
624	0.6535280142
625	0.6533809553
626	0.6528631941
627	0.652567515
628	0.6523248249
629	0.652146708
630	0.6513340415
631	0.6512234431
632	0.6506871035
633	0.6502275104
634	0.6500680324
635	0.6495031387
636	0.6494109541
637	0.6492561865
638	0.6489477807
639	0.64870735
640	0.6483232731
641	0.6481790401
642	0.6478814979
643	0.6475111575
644	0.6472234954
645	0.6469719061
646	0.6465952895
647	0.6463179848
648	0.6461218605
649	0.645997565
650	0.6458537289
651	0.6456602709
652	0.6454346854
653	0.6453069243
654	0.6450404317
655	0.6442192453
656	0.6441004843
657	0.6440044056
658	0.6433286348
659	0.642589659
660	0.6424391283
661	0.6421248513
662	0.6418488164
663	0.6417049591
664	0.6414911233
665	0.641261794
666	0.6411035528
667	0.640805983
668	0.6404784079
669	0.6403415648
670	0.6398731404
671	0.6395974106
672	0.6393711808
673	0.6388839814
674	0.6383137958
675	0.6381348598
676	0.6379536237
677	0.6376496178
678	0.6371689221
679	0.637071106
680	0.6368201656
681	0.636494241
682	0.6358226041
683	0.6353492964
684	0.635097556
685	0.6344623087
686	0.634154096
687	0.6334320411
688	0.6329128817
689	0.6324841604
690	0.6319468743
691	0.6314753741
692	0.6313203279
693	0.6307973715
694	0.6306729218
695	0.6300385994
696	0.6299491059
697	0.6295651556
698	0.6294549566
699	0.6293621883
700	0.6291943223
701	0.6290180408
702	0.628278739
703	0.6280671857
704	0.6279230684
705	0.6276001539
706	0.6273663711
707	0.6269318324
708	0.6266713558
709	0.6262475822
710	0.6257986056
711	0.6254723143
712	0.6253467643
713	0.6251722373
714	0.6245924366
715	0.6244284343
716	0.6239416298
717	0.6236301797
718	0.6231122197
719	0.6230124692
720	0.6225689652
721	0.6218495853
722	0.6207838931
723	0.6204178003
724	0.6197861069
725	0.6194853728
726	0.6190346786
727	0.6187369951
728	0.6181607921
729	0.6180758987
730	0.6176799899
731	0.6175405259
732	0.6173277756
733	0.6167967922
734	0.6166328002
735	0.6164316972
736	0.6157701968
737	0.6154150476
738	0.6152691496
739	0.6151097634
740	0.614788513
741	0.6145455107
742	0.6143094651
743	0.6140163783
744	0.613627988
745	0.6135211122
746	0.6126849152
747	0.6122958911
748	0.6121110482
749	0.6115055752
750	0.6112356331
751	0.6110461798
752	0.6108293018
753	0.6102053258
754	0.610045666
755	0.6098598527
756	0.6092591492
757	0.6091513258
758	0.608818726
759	0.6082081371
760	0.6080932105
761	0.6077344269
762	0.6075729796
763	0.6074725905
764	0.6072945151
765	0.6065196785
766	0.6062166866
767	0.605394065
768	0.6051732575
769	0.6049480736
770	0.6047242943
771	0.6039812478
772	0.6038110828
773	0.6034405849
774	0.6031320773
775	0.6030499596
776	0.6027906719
777	0.6024293852
778	0.602289942
779	0.6017987411
780	0.6017171032
781	0.6015699399
782	0.6013934256
783	0.6010211892
784	0.6008455664
785	0.6007019959
786	0.600174296
787	0.5999299538
788	0.5995936136
789	0.5993727621
790	0.5986037081
791	0.5982583392
792	0.5980821616
793	0.5978774672
794	0.5976085779
795	0.5972703152
796	0.5965775041
797	0.5964423126
798	0.59613214
799	0.5956181412
800	0.5954927977
801	0.595332723
802	0.5950015391
803	0.5948427048
804	0.5945607644
805	0.5941267832
806	0.5939284639
807	0.5937361473
808	0.5935114328
809	0.592787878
810	0.5921844854
811	0.5920600184
812	0.5917049505
813	0.591594353
814	0.5913234233
815	0.591129216
816	0.5909819235
817	0.5906322713
818	0.5903938658
819	0.5902264091
820	0.5901403677
821	0.5896283589
822	0.589480851
823	0.5891453214
824	0.5888612432
825	0.5887639985
826	0.5884373692
827	0.5881987417
828	0.5876246372
829	0.5870852893
830	0.5868113196
831	0.5864121059
832	0.5860254802
833	0.5858629769
834	0.585474047
835	0.5853425549
836	0.5852625828
837	0.5845079847
838	0.58420555
839	0.5837958764
840	0.5835768103
841	0.5833486321
842	0.5832647496
843	0.5831651937
844	0.5830910557
845	0.5829442094
846	0.5828002219
847	0.5826147078
848	0.5821498101
849	0.5817359776
850	0.5812187762
851	0.5809384085
852	0.5807834542
853	0.5806790809
854	0.5805958279
855	0.5805131563
856	0.5802068598
857	0.5796167675
858	0.5794378519
859	0.5786518616
860	0.5782339431
861	0.5780817788
862	0.5778904812
863	0.5775994959
864	0.5774792599
865	0.5772731022
866	0.5771298822
867	0.5768464477
868	0.5766219658
869	0.5762850355
870	0.5761785178
871	0.5758664265
872	0.5758050682
873	0.5757067816
874	0.5753357597
875	0.5751111538
876	0.5747264424
877	0.5745108736
878	0.574283887
879	0.5739331484
880	0.5735658207
881	0.5732070702
882	0.5730723373
883	0.5725935304
884	0.5725349989
885	0.5724763029
886	0.5722897526
887	0.5721487663
888	0.5720099487
889	0.5718868691
890	0.5712996016
891	0.5711411206
892	0.5710083422
893	0.5709251612
894	0.5707196104
895	0.5703662174
896	0.5703052392
897	0.5701497407
898	0.5700784063
899	0.5698947727
900	0.569306467
901	0.5690994797
902	0.5688969404
903	0.5683077134
904	0.5680391484
905	0.5674950288
906	0.5672604691
907	0.5670972058
908	0.5663552585
909	0.5660926386
910	0.5659231503
911	0.565664865
912	0.5654075682
913	0.5651054952
914	0.564749486
915	0.5646029831
916	0.5643841069
917	0.564206686
918	0.5635522843
919	0.5629897258
920	0.5626996719
921	0.5621617463
922	0.5617737433
923	0.5615019345
924	0.5613018598
925	0.5611668784
926	0.5605156431
927	0.5603851541
928	0.5598199025
929	0.5591927316
930	0.558677089
931	0.5581247559
932	0.5578259455
933	0.5576517864
934	0.557505404
935	0.55739224
936	0.5570513321
937	0.556876237
938	0.5562572564
939	0.5554167308
940	0.5549162696
941	0.5547143775
942	0.5539710932
943	0.5539015651
944	0.5532082094
945	0.5526219521
946	0.5522582115
947	0.5520061576
948	0.5519345738
949	0.5518716238
950	0.5517374369
951	0.551473332
952	0.5512795017
953	0.5510690767
954	0.5507421938
955	0.5506193872
956	0.5504976864
957	0.5500890361
958	0.5495724629
959	0.549326135
960	0.5491039222
961	0.5488386206
962	0.5486567752
963	0.5484952373
964	0.5483700991
965	0.5481349666
966	0.5478795793
967	0.5476875365
968	0.5472073533
969	0.547023086
970	0.54669557
971	0.5464901333
972	0.5461711575
973	0.5457164047
974	0.5455843959
975	0.5452007447
976	0.544802497
977	0.5446464232
978	0.544416982
979	0.5442069321
980	0.5438993419
981	0.5436999822
982	0.5435242291
983	0.54301826
984	0.5425580494
985	0.5419247772
986	0.5418409287
987	0.5417572581
988	0.5415010303
989	0.5408530241
990	0.5403912237
991	0.5401842294
992	0.5400979833
993	0.5398000702
994	0.5393302064
995	0.5389004209
996	0.5385311817
997	0.5382201588
998	0.5379402629
999	0.5375832736
